kode_kbli,uraian
13999,Industri Tekstil Lainnya YTDL
10710,Industri Produk Bakeri
14111,Industri Pakaian Jadi (Konfeksi) dari Tekstil
10721,Industri Gula Pasir
14112,Industri Pakaian Jadi (Konfeksi) dari Kulit dan Tiruan Kulit
10722,Industri Gula Merah
14120,Industri Penjahitan dan Pembuatan (Bukan Konfeksi)
10723,Industri Sirop Pakaian Sesuai Pesanan/Kustomisasi
10729,Industri Gula Lainnya
14131,Industri Perlengkapan Pakaian dari Tekstil
10731,Industri Pengolahan Kakao
14132,Industri Perlengkapan Pakaian dari Kulit dan Tiruan Kulit
10732,Industri Cokelat dan Kembang Gula dari Cokelat
14200,Industri Barang dari Kulit Berbulu
10733,Industri Manisan Buah-buahan dan Sayuran Kering
14301,Industri Pakaian Jadi dan Perlengkapannya dari Rajutan
10739,Industri Kembang Gula Lainnya dan Crocheted
10740,"Industri Makaroni, Mi, Couscous, dan Produk Sejenisnya"
14302,Industri Hosiery Rajutan dan Crocheted
10750,Industri Makanan dan Masakan Olahan
15111,Pengawetan Kulit
10761,Pengolahan Kopi
15112,Penyamakan Kulit
10762,Pengolahan Teh
15113,Pewarnaan Kulit Berbulu
10771,Industri Kecap
15114,Industri Kulit Komposisi
10772,Industri Garam Konsumsi Beryodium
15121,"Industri Koper, Tas Tangan, dan Sejenisnya"
10773,Industri Garam Industri Aneka Pangan
15122,"Industri Pelana, Alat Pengekang/Harness, dan Barang"
10779,Industri Bumbu Masakan Lainnya Lainnya untuk Hewan
10791,Industri Makanan Bayi dan Makanan Khusus
15129,Industri Barang Lainnya dari Kulit dan Kulit Komposisi
10792,Industri Kue Basah
15201,Industri Alas Kaki untuk Keperluan Sehari-hari
10793,Industri Produk Makanan dari Kelapa
15202,Industri Sepatu Olahraga
10794,"Industri Kerupuk, Keripik, Peyek, dan Sejenisnya"
15203,Industri Sepatu Teknik Lapangan/Keperluan Industri
10795,Industri Sari Nabati dan Krimer Nabati
15209,Industri Alas Kaki Lainnya
10796,Industri Dodol
16101,Penggergajian dan Penghalusan Kayu
10797,Industri Infusi Herbal/Herb Infusion
16102,Pengawetan Kayu
10798,Industri Bahan Makanan dari Rumput Laut
16103,"Pengawetan Rotan, Bambu, dan Sejenisnya"
10799,Industri Produk Makanan Lainnya YTDL
16104,Pengolahan Rotan
10801,Industri Ransum Pakan Hewan
16105,Industri Partikel Kayu dan Sejenisnya
10802,Industri Konsentrat Pakan Hewan
16211,Industri Kayu Lapis
11010,"Industri Penyulingan, Pemurnian, dan Pencampuran"
16212,Industri Venir
16213,Industri Kayu Laminasi
11020,Industri Minuman Beralkohol Hasil Fermentasi Anggur dan
16219,Industri Panel Kayu Lainnya
16221,Industri Barang Bangunan dari Kayu
11030,Industri Minuman Beralkohol Hasil Fermentasi Malt
16222,Industri Bangunan Prafabrikasi dari Kayu dan Sejenisnya
11040,Industri Malt
16230,Industri Wadah dari Kayu
11051,Industri Air Kemasan
16291,Industri Barang Anyaman dari Rotan dan Bambu
11052,Industri Air Minum Isi Ulang
16292,Industri Barang Anyaman dari Tanaman Selain Rotan dan
11053,Industri Minuman Ringan Bambu
11059,Industri Minuman Lainnya
16293,Industri Kerajinan Ukiran dari Kayu Bukan Furnitur
12001,Industri Sigaret Kretek Tangan
16294,"Industri Alat Dapur dan Alat Makan dari Kayu, Rotan, dan"
12002,Industri Sigaret Kretek Mesin Bambu
12003,Industri Rokok Putih
16295,Industri Kayu Bakar dan Pelet dari Kayu dan Biomassa
12004,Industri Pengeringan dan Pengolahan Tembakau lainnya
12005,Industri Bumbu Rokok
16299,Industri Barang Lainnya dari Kayu; Industri Barang dari
12009,"Industri Produk Tembakau Lainnya Gabus, Jerami, Rotan, Bambu, dan Sejenisnya YTDL"
13111,Persiapan Serat Tekstil
17011,Industri Bubur Kertas (Pulp)
13112,Pemintalan Benang Selain Benang Jahit
17012,Industri Kertas Budaya
13113,Pemintalan Benang Jahit
17013,Industri Kertas Berharga
13121,Pertenunan Tekstil dengan Mesin
17014,Industri Kertas Khusus
13122,Pertenunan Tekstil Bukan dengan Mesin
17019,Industri Kertas Lainnya
13131,Penyempurnaan Benang
17021,Industri Kertas dan Papan Kertas Bergelombang
13132,Penyempurnaan Basah Kain
17022,Industri Kemasan dan Kotak dari Kertas dan Karton
13133,Industri Kain Batik
17091,Industri Kertas Tisu
13139,Penyempurnaan Tekstil Lainnya
17099,Industri Barang dari Kertas dan Papan Kertas Lainnya
13911,Industri Kain Rajutan YTDL
18111,Pencetakan Umum
13912,Industri Kain Crocheted
18112,Pencetakan Khusus
