kode_kbji,uraian
4415,Juru Tata Usaha Pengarsipan Dan Penggandaan
4416,Juru Tata Usaha Personalia
6122,Pekerja Peternakan Unggas
4419,Juru Tata Usaha YTDL
6123,Pekerja Peternakan Lebah Dan Ulat Sutera
6129,Pekerja Peternakan YTDL
6130,Pekerja Campuran Pertanian Dan Peternakan
6210,Pekerja Kehutanan Dan YBDI
6221,Pekerja Budidaya Perikanan
5111,Tenaga Pelayanan Perjalanan 6222 Pekerja Perikanan Tangkap Di Perairan Umum Dan Pesisir
5112,Kondektur Transportasi 6223 Pekerja Perikanan Tangkap Di Laut Dalam
5113,Pramuwisata 6224 Pemburu Dan Penangkapan Satwa Liar
5120,Juru Masak 6310 Petani Subsisten
5131,Pramusaji 6320 Peternak Subsisten
5132,Pramutama Bar/Bartender 6330 Petani Dan Peternak (Campuran) Subsisten
5141,"Penata Rambut 6340 Nelayan, Pemburu, Penangkap Dan Pengumpul Subsisten"
5142,Perawat Kecantikan/Beautician Dan YBDI
7521,Pekerja Pengawetan Kayu
7523,Penyetel Dan Operator Mesin Perkakas Pengolahan Kayu
7111,Pekerja Bangunan Rumah
7531,"Pembuat Pakaian, Pakaian Dari Kulit, Dan Penutup Kepala"
7112,Tukang Tembok Dan YBDI
7532,Pembuat Dan Pemotong Pola Garmen Dan YBDI
7113,"Pembelah, Pemotong, Pemecah, Dan Pemahat Batu"
7533,"Tukang Jahit, Penyulam, Dan YBDI"
7114,Tukang Beton Dan YBDI
7534,Pelapis Furnitur (Upholster) Dan YBDI
7115,Tukang Kayu Bangunan
7535,"Pembersih Kulit, Penyamak Kulit Dan Pewarna Kulit"
7119,Pekerja Kerangka Bangunan YTDL
7536,Pembuat Sepatu Dan YBDI
7121,Pekerja Atap Bangunan
7541,Pekerja Bawah Air
7122,Pekerja Lantai Dan Ubin
7542,Peledak Dinamit (Pertambangan Dan Penggalian)
7123,Pekerja Plester
7543,Penguji Dan Penilai Kualitas Produk (Selain Produk
7124,Pekerja Isolasi Makanan Dan Minuman)
7125,Pekerja Kaca 7544 Pengendali Dan Pembasmi Hama Dan Gulma
7126,Pekerja Perpipaan 7549 Pekerja Pengolahan Lainnya YTDL
7127,Mekanik Pendingin Udara Dan Lemari Pendingin
7131,Pekerja Pengecatan Bangunan Dan YBDI GOLONGAN POKOK 8
7132,Pekerja Cat Semprot Dan Vernis
7133,Pembersih Bangunan Operator dan Perakit Mesin
7211,Pelebur Dan Pencetak Inti Logam
8111,Pekerja Tambang dan Pekerja Penggalian
7212,Pekerja Pengelasan
8112,Operator Mesin Pengolahan Bijih Mineral dan Batu
7213,Pekerja Logam Lembaran
8113,Pekerja Pengeboran dan Penggalian YBDI
7214,Pekerja Penyiapan Dan Pemancangan Struktur Logam
8114,"Operator Mesin Pengolahan Semen, Batu dan Mineral"
7215,Pemasang Dan Penyambung Tali Kabel
7221,"Pandai Besi, Pekerja Tempa Dan Press Logam"
8121,Operator Mesin Pengolahan Logam
7222,Pembuat Perkakas Dan YBDI
8122,"Operator Mesin Penyelesaian, Penyepuhan dan Pelapisan"
7223,Operator Dan Penyetel Mesin Pengerjaan Logam
7224,"Pemoles Logam, Pengasah, Dan Penajam Perkakas Logam"
8131,Operator Mesin Pengolahan Bahan Kimia
7231,Mekanik Dan Tukang Reparasi Kendaraan Bermotor
8132,Operator Mesin Pengolahan Produk Fotografi
7232,Mekanik Dan Tukang Reparasi Mesin Pesawat
8141,Operator Mesin Pengolahan Karet
7233,Mekanik Dan Tukang Reparasi Mesin Pertanian Dan
8142,Operator Mesin Pengolahan Plastik
8143,Operator Mesin Pengolahan Kertas
7234,Tukang Reparasi Sepeda Dan YBDI
8151,"Operator Mesin Penyiapan, Pemintalan, dan Penggulungan"
7311,Pembuat Dan Tukang Reparasi Peralatan Presisi
7312,Pembuat Dan Penyetem Alat Musik
8152,Operator Mesin Tenun dan Rajut
7313,Pekerja Pembuat Perhiasan Dan Barang Dari Logam Mulia
8153,Operator Mesin Jahit
7314,Pembuat Tembikar Dan YBDI
8154,"Operator Mesin Pemutihan, Pencelupan, dan Pembersihan"
7315,"Pembuat, Pemotong, Pengasah Dan Penyelesai Kaca Kain"
7316,"Pembuat Papan Tanda, Pelukis Dekoratif, Pengukir, Dan 8155 Operator Mesin Penyiapan Bulu dan Kulit"
8156,Operator Mesin Pembuat Sepatu dan YBDI
7317,"Pembuat Kerajinan Dari Kayu, Keranjang Anyaman, Dan"
8157,Operator Mesin Binatu
8159,"Operator Mesin Pengolahan Tekstil, Bulu dan Kulit YTDL"
7318,"Pembuat Kerajinan Dari Tekstil, Kulit, Dan Bahan YBDI"
8160,Operator Mesin Pengolahan Makanan dan YBDI
7319,Pembuat Kerajinan YTDL
8171,Operator Mesin Pengolahan Bubur Kertas dan Pembuatan
7321,Pekerja Pracetak
7322,Pekerja Pencetakan
8172,Operator Mesin Pengolahan Kayu
7323,Pekerja Penyelesaian Dan Penjilidan Cetakan
8181,Operator Mesin Pengolahan Kaca dan Keramik
7411,Pekerja Kelistrikan Bangunan Dan YBDI
8182,Operator Mesin Uap dan Ketel Uap
7412,Mekanik Dan Pemasang Peralatan Listrik
8183,"Operator Mesin Pengisian Botol, Pelabelan, dan"
7413,Pekerja Instalasi Dan Reparasi Jaringan Listrik Pengemasan
7421,Pekerja Mekanik Dan Servis Peralatan Elektronik 8189 Operator Mesin Stasioner YTDL
7422,Pekerja Instalasi Dan Servis Peralatan Teknologi Informasi 8211 Perakit Mesin Mekanik
8212,Perakit Peralatan Listrik dan Elektronik
7511,"Pemotong Hewan, Penjual Ikan Segar, Dan Pengolah"
8219,Perakit YTDL
8311,Masinis Mesin Lokomotif
7512,"Pembuat Roti, Kue, Dan Kembang Gula"
8312,"Operator Rem, Sinyal, dan Langsir Kereta Api"
7513,Pembuat Produk Susu
8321,Pengemudi Sepeda Motor
7514,"Pengawet Buah, Sayur, Dan YBDI"
8322,"Pengemudi Mobil, Taksi dan Van"
7515,Ahli Pencicip Dan Penilai Kualitas Makanan Dan Minuman
8331,Pengemudi Bus dan Trem
8332,Pengemudi Truk Berat dan Truk Kontainer
8341,Operator Mesin Bergerak Pertanian dan Kehutanan
8342,Operator Mesin Pengeruk Tanah dan YBDI
8343,"Operator Mesin Derek/Crane, Pengerek/Hoist dan YBDI"
8344,Operator Forklift
8350,Awak Geladak Kapal dan YBDI
9111,Tenaga Kebersihan Dan Juru Bantu Rumahtangga
9112,"Tenaga Kebersihan Dan Juru Bantu Di Kantor, Hotel, Dan"
9121,Tenaga Cuci Dan Setrika Dengan Tangan
9122,Tenaga Cuci Kendaraan
9123,Tenaga Pembersih Jendela
9129,Tenaga Kebersihan Lainnya
9211,Buruh Pertanian
9212,Buruh Peternakan
9213,Buruh Campuran Pertanian Dan Peternakan
9214,Buruh Kebun Bibit Dan Taman
9215,Buruh Kehutanan
9216,Buruh Penangkapan Dan Budidaya Perikanan
9311,Buruh Pertambangan Dan Penggalian
9312,Buruh Teknik Sipil
9313,Buruh Bangunan
9321,Buruh Pengemasan
9329,Buruh Industri Pengolahan YTDL
9331,Pengemudi Becak Dan Kendaraan Berpedal
9332,Pengemudi Kendaraan Dan Peralatan Yang Ditarik Hewan
9333,Buruh Angkat Barang
9334,Buruh Penata Barang
9411,Asisten Juru Masak
9412,Juru Bantu Dapur
9510,Pekerja Jasa Jalanan Dan YBDI
9520,Pedagang Keliling Dan Asongan (Selain Makanan)
9611,Tukang Sampah
9612,Penyortir Sampah
9613,Tukang Sapu Dan YBDI
9621,"Kurir, Pengantar Paket Dan Kuli Angkut Barang"
9622,Pekerja Serabutan
9623,Pembaca Meteran Dan Pengumpul Mesin Vending
9624,Pengumpul Air Dan Kayu Bakar
9629,Pekerja Kasar YTDL
